transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud,amount_bucket,fraud_label,combined_risk_score,risk_tier
9608,363,4922.59,ATM,Travel,TR,12,0.99,0.95,1,1000+,Fraud,0.97,High Risk
456,692,48.02,QR,Food,US,21,0.17,0.22,0,<100,Not Fraud,0.2,Low Risk
4747,587,136.88,Online,Travel,TR,14,0.30,0.13,0,100-499,Not Fraud,0.21,Low Risk
6934,445,80.53,POS,Clothing,TR,23,0.12,0.16,0,<100,Not Fraud,0.14,Low Risk
1646,729,120.04,Online,Grocery,FR,16,0.10,0.03,0,100-499,Not Fraud,0.06,Low Risk
2183,944,97.11,POS,Clothing,DE,17,0.24,0.11,0,<100,Not Fraud,0.17,Low Risk
1919,829,166.21,Online,Travel,UK,12,0.12,0.22,0,100-499,Not Fraud,0.17,Low Risk
3479,845,96.51,Online,Grocery,US,7,0.08,0.03,0,<100,Not Fraud,0.06,Low Risk
6796,129,83.34,QR,Food,DE,16,0.02,0.28,0,<100,Not Fraud,0.15,Low Risk
5129,249,89.70,QR,Grocery,UK,6,0.10,0.14,0,<100,Not Fraud,0.12,Low Risk
7402,701,101.40,QR,Travel,FR,7,0.16,0.29,0,100-499,Not Fraud,0.23,Low Risk
6188,116,106.56,QR,Food,DE,23,0.14,0.14,0,100-499,Not Fraud,0.14,Low Risk
8538,679,55.36,Online,Food,US,10,0.07,0.13,0,<100,Not Fraud,0.1,Low Risk
8410,559,99.41,Online,Food,DE,10,0.08,0.01,0,<100,Not Fraud,0.05,Low Risk
8201,564,94.55,ATM,Clothing,TR,20,0.13,0.16,0,<100,Not Fraud,0.15,Low Risk
2187,336,133.41,POS,Food,UK,19,0.08,0.29,0,100-499,Not Fraud,0.18,Low Risk
5666,166,158.00,QR,Electronics,FR,19,0.21,0.02,0,100-499,Not Fraud,0.11,Low Risk
1419,288,203.00,QR,Grocery,TR,23,0.16,0.08,0,100-499,Not Fraud,0.12,Low Risk
6484,984,88.51,QR,Travel,UK,19,0.15,0.21,0,<100,Not Fraud,0.18,Low Risk
2480,137,115.31,Online,Food,FR,14,0.21,0.07,0,100-499,Not Fraud,0.14,Low Risk
2818,893,63.99,QR,Travel,FR,12,0.04,0.22,0,<100,Not Fraud,0.13,Low Risk
8826,620,113.31,ATM,Clothing,TR,9,0.14,0.03,0,100-499,Not Fraud,0.09,Low Risk
8257,600,131.96,Online,Clothing,FR,18,0.04,0.04,0,100-499,Not Fraud,0.04,Low Risk
9933,121,4284.18,ATM,Food,TR,12,0.74,0.73,1,1000+,Fraud,0.73,High Risk
9035,358,76.70,POS,Grocery,TR,7,0.09,0.18,0,<100,Not Fraud,0.14,Low Risk
7468,688,138.64,POS,Electronics,TR,17,0.11,0.21,0,100-499,Not Fraud,0.16,Low Risk
464,832,133.26,Online,Travel,DE,15,0.06,0.09,0,100-499,Not Fraud,0.07,Low Risk
599,155,17.55,POS,Electronics,FR,7,0.01,0.18,0,<100,Not Fraud,0.09,Low Risk
3094,200,1.00,POS,Food,US,9,0.11,0.18,0,<100,Not Fraud,0.14,Low Risk
8745,865,154.72,Online,Grocery,FR,9,0.16,0.03,0,100-499,Not Fraud,0.1,Low Risk
2730,375,103.78,ATM,Grocery,US,17,0.21,0.14,0,100-499,Not Fraud,0.18,Low Risk
4155,826,54.20,ATM,Grocery,TR,22,0.09,0.01,0,<100,Not Fraud,0.05,Low Risk
4298,847,91.65,QR,Food,TR,18,0.27,0.13,0,<100,Not Fraud,0.2,Low Risk
9139,769,135.34,POS,Grocery,FR,16,0.07,0.08,0,100-499,Not Fraud,0.08,Low Risk
